MAE,RMSE,WAPE,sMAPE,horizon,model
21504.373046875,140851.71875,15.15793514251709,13.117279052734375,4,Ridge lags
22529.232421875,146113.8125,15.94510555267334,13.33311939239502,5,Ridge lags
24125.109375,145581.0625,16.83257293701172,13.991425514221191,6,Ridge lags
24860.7109375,164642.8125,17.51146697998047,14.907041549682617,7,Ridge lags
25391.595703125,164203.375,17.960988998413086,15.079019546508789,8,Ridge lags
27149.90234375,168509.640625,18.931947708129883,15.699858665466309,9,Ridge lags
27485.494140625,188070.15625,19.34858512878418,16.129833221435547,10,Ridge lags
27327.712890625,174416.34375,19.31917953491211,16.321128845214844,11,Ridge lags
29072.06640625,181117.21875,20.259273529052734,16.6226863861084,12,Ridge lags
20645.453125,192825.578125,14.56139850616455,8.720148086547852,1,HistGradientBoosting
21712.44921875,177413.46875,15.377945899963379,10.595372200012207,2,HistGradientBoosting
25267.47265625,185477.328125,17.641082763671875,11.965599060058594,3,HistGradientBoosting
25353.09765625,200481.3125,17.870813369750977,12.364031791687012,4,HistGradientBoosting
24607.02734375,179568.53125,17.415668487548828,12.953864097595215,5,HistGradientBoosting
27569.1015625,191221.734375,19.235517501831055,13.632647514343262,6,HistGradientBoosting
26767.654296875,198579.640625,18.85468292236328,13.673332214355469,7,HistGradientBoosting
26358.23046875,183952.4375,18.64474868774414,14.171582221984863,8,HistGradientBoosting
29399.72265625,193004.28125,20.500774383544922,15.001387596130371,9,HistGradientBoosting
28520.52734375,205335.09375,20.07720375061035,15.060408592224121,10,HistGradientBoosting
27672.7578125,187910.59375,19.563106536865234,15.063720703125,11,HistGradientBoosting
29387.306640625,195192.15625,20.478952407836914,15.26600456237793,12,HistGradientBoosting
23003.28125,203928.8125,16.224393844604492,9.884881973266602,1,Compact LSTM
23514.888671875,187349.296875,16.654531478881836,11.221293449401855,2,Compact LSTM
27166.232421875,198469.65625,18.966747283935547,12.566174507141113,3,Compact LSTM
26212.08984375,207009.671875,18.47629737854004,12.407331466674805,4,Compact LSTM
25840.794921875,190051.4375,18.288869857788086,13.037625312805176,5,Compact LSTM
28627.380859375,199300.203125,19.973899841308594,13.825060844421387,6,Compact LSTM
27477.880859375,207228.765625,19.354957580566406,13.610627174377441,7,Compact LSTM
26950.712890625,190916.6875,19.063846588134766,13.919331550598145,8,Compact LSTM
30227.056640625,200807.90625,21.07768440246582,15.192066192626953,9,Compact LSTM
28942.099609375,208571.5625,20.373973846435547,14.853617668151855,10,Compact LSTM
28020.79296875,191415.21875,19.80914878845215,14.797467231750488,11,Compact LSTM
30150.23046875,200617.21875,21.01060676574707,15.315892219543457,12,Compact LSTM
13692.3779296875,100719.1171875,9.657340049743652,8.774895668029785,1,Residual TCN (no wavelet)
17942.609375,126959.5859375,12.707938194274902,10.715019226074219,2,Residual TCN (no wavelet)
20685.44140625,122254.7109375,14.44202995300293,12.721395492553711,3,Residual TCN (no wavelet)
20223.09375,135413.015625,14.254790306091309,12.120522499084473,4,Residual TCN (no wavelet)
21991.05859375,153149.4375,15.56421184539795,12.588244438171387,5,Residual TCN (no wavelet)
23465.486328125,141600.984375,16.372343063354492,13.870819091796875,6,Residual TCN (no wavelet)
23585.283203125,156936.421875,16.61307716369629,13.579954147338867,7,Residual TCN (no wavelet)
25008.67578125,170486.5,17.69013023376465,13.411171913146973,8,Residual TCN (no wavelet)
26932.013671875,174043.578125,18.780010223388672,14.85851001739502,9,Residual TCN (no wavelet)
27043.216796875,193081.5,19.037242889404297,14.723676681518555,10,Residual TCN (no wavelet)
27412.169921875,189589.578125,19.37888526916504,14.797597885131836,11,Residual TCN (no wavelet)
28275.32421875,188268.359375,19.704051971435547,14.96426773071289,12,Residual TCN (no wavelet)
13569.0068359375,100773.15625,9.57032585144043,8.361014366149902,1,Wavelet-Residual TCN
17770.64453125,126297.4140625,12.586143493652344,10.248954772949219,2,Wavelet-Residual TCN
20626.630859375,121926.203125,14.400967597961426,12.289381980895996,3,Wavelet-Residual TCN
20354.435546875,134578.1875,14.347370147705078,12.068318367004395,4,Wavelet-Residual TCN
21994.857421875,151221.234375,15.566900253295898,12.608240127563477,5,Wavelet-Residual TCN
22828.7890625,140322.9375,15.928104400634766,13.192283630371094,6,Wavelet-Residual TCN
23673.986328125,156040.734375,16.67555809020996,13.455099105834961,7,Wavelet-Residual TCN
25299.787109375,168623.796875,17.89604949951172,13.727810859680176,8,Wavelet-Residual TCN
26969.05859375,172985.4375,18.805843353271484,14.770868301391602,9,Wavelet-Residual TCN
27194.865234375,191453.25,19.14399528503418,14.059235572814941,10,Wavelet-Residual TCN
27473.849609375,188289.265625,19.422489166259766,14.342869758605957,11,Wavelet-Residual TCN
28127.76953125,186418.8125,19.601226806640625,14.592679023742676,12,Wavelet-Residual TCN
13901.818359375,101290.203125,9.805060386657715,8.390237808227539,1,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
17520.109375,121787.5859375,12.408700942993164,10.190999984741211,2,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
20467.0546875,119370.0703125,14.289558410644531,12.114790916442871,3,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
20334.892578125,132928.546875,14.333595275878906,12.012306213378906,4,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
21750.75390625,145113.46875,15.394134521484375,12.52122974395752,5,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
22677.177734375,137093.515625,15.822322845458984,13.120939254760742,6,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
23494.80078125,153071.125,16.549341201782227,13.404932975769043,7,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
24852.30078125,161407.515625,17.57951545715332,13.63646411895752,8,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
26500.412109375,166397.0625,18.47905158996582,14.656906127929688,9,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
26720.0546875,184914.984375,18.809751510620117,14.097113609313965,10,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
26857.263671875,179059.421875,18.986597061157227,14.350773811340332,11,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
27553.05078125,179346.5,19.200725555419922,14.58637523651123,12,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
