dataset,candidate,baseline,candidate_wape,baseline_wape,wape_point_improvement,wape_point_CI_low,wape_point_CI_high,relative_improvement_percent,folds,baseline_models
Abilene,SCALE-TM neural ensemble,All-flow WRTCN,15.192658106486002,16.20206133524577,1.0094030735347719,0.7159565783937131,1.3519353174824158,6.302212823381815,3,All-flow WRTCN
Abilene,SCALE-TM neural ensemble,Best single non-ensemble,15.192658106486002,15.422411600748697,0.22975304464395166,-0.0855753507890646,0.4815106718187851,1.456483047074199,3,DLinear; N-BEATS-Small; N-HiTS-Small
Abilene,SCALE-TM neural ensemble,N-BEATS-Small,15.192658106486002,15.47400188446045,0.28134371439495703,0.10208579237491339,0.46523675322190355,1.7554748167514471,3,N-BEATS-Small
Abilene,SCALE-TM neural ensemble,N-HiTS-Small,15.192658106486002,15.530018170674643,0.3373597103990866,0.05286669954784065,0.5769916803613485,2.1573115206670677,3,N-HiTS-Small
Abilene,SCALE-TM neural ensemble,Persistence,15.192658106486002,16.712241808573406,1.5195829399344454,1.1373549507226304,1.983444545641298,9.097316223251486,3,Persistence
Abilene,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,15.192658106486002,15.234642028808594,0.04198381656403941,0.02772126636885919,0.0559595707646506,0.25172064620030393,3,SCALE-TM no-WRTCN ensemble
Abilene,SCALE-TM neural ensemble,Uniform candidate ensemble,15.192658106486002,15.306478182474772,0.11382079752633363,-0.04764091398859625,0.2976010981641553,0.7854299537012871,3,Uniform candidate ensemble
CERNET,SCALE-TM neural ensemble,All-flow WRTCN,14.622690518697103,16.25579293568929,1.6331019889665155,0.5079925572376924,2.908947332332683,9.27824399769071,3,All-flow WRTCN
CERNET,SCALE-TM neural ensemble,Best single non-ensemble,14.622690518697103,14.88502566019694,0.26233483075774416,-0.3528565547986167,1.0183862826150183,1.7311640801900892,3,All-flow WRTCN; N-BEATS-Small; TimesNet-Small
CERNET,SCALE-TM neural ensemble,N-BEATS-Small,14.622690518697103,15.51066525777181,0.8879744970854007,-0.28997581180390597,2.325731966445271,5.830228155429439,3,N-BEATS-Small
CERNET,SCALE-TM neural ensemble,N-HiTS-Small,14.622690518697103,15.635353724161783,1.0126629552665272,-0.36178188929650884,2.773050366161076,6.605439533547343,3,N-HiTS-Small
CERNET,SCALE-TM neural ensemble,Persistence,14.622690518697103,15.39881451924642,0.7761239391054233,-0.38219939264129826,2.27182525119249,5.13984042125374,3,Persistence
CERNET,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,14.622690518697103,14.651625951131185,0.02893516471485703,-0.8517741502970136,1.2153111466473272,0.23717797749507952,3,SCALE-TM no-WRTCN ensemble
CERNET,SCALE-TM neural ensemble,Uniform candidate ensemble,14.622690518697103,15.592305183410645,0.9696147997539827,-0.15083042560349183,2.3528043983244413,6.340680888155011,3,Uniform candidate ensemble
GEANT,SCALE-TM neural ensemble,All-flow WRTCN,77.33161322275798,85.2947006225586,7.963078865089028,2.0077726645009304,30.239382486801972,11.976323396288187,3,All-flow WRTCN
GEANT,SCALE-TM neural ensemble,Best single non-ensemble,77.33161322275798,37.490187644958496,-39.84143720622733,-214.75801195384113,12.35637677203561,-51.82623775551763,3,Damped persistence; N-BEATS-Small
GEANT,SCALE-TM neural ensemble,N-BEATS-Small,77.33161322275798,38.675483067830406,-38.65614218111268,-216.58047649036175,13.37776248055505,-44.93948436018662,3,N-BEATS-Small
GEANT,SCALE-TM neural ensemble,N-HiTS-Small,77.33161322275798,39.014391581217446,-38.317234511854906,-195.7043449840825,5.628999399657896,-43.56952374274156,3,N-HiTS-Small
GEANT,SCALE-TM neural ensemble,Persistence,77.33161322275798,83.45719114939372,6.125569600342517,-0.5355035935564881,32.38515238671986,2.056351123804189,3,Persistence
GEANT,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,77.33161322275798,72.28060690561931,-5.051014082847291,-18.858860374709888,0.7549863895423514,-3.4668200443874326,3,SCALE-TM no-WRTCN ensemble
GEANT,SCALE-TM neural ensemble,Uniform candidate ensemble,77.33161322275798,64.27888679504395,-13.052734305031684,-52.46827974879812,5.138585165378209,-1.106256965065595,3,Uniform candidate ensemble
