MAE,RMSE,WAPE,sMAPE,dataset,fold,model,WAPE_CI_low,WAPE_CI_high,flows,rows,step_minutes,lookback_steps,horizon_steps,train_windows,val_windows,test_windows,constant_flows,ensemble_weights,train_summary
4364.46240234375,17512.455078125,16.84319305419922,30.128585815429688,Abilene,1,NLinear,15.655996594675955,18.239966906971272,144,2880,5,72,12,19872,3312,3456,0,{},{}
4428.73583984375,17220.748046875,17.091232299804688,31.116188049316406,Abilene,1,DLinear,15.83038715307605,18.925521705350537,144,2880,5,72,12,19872,3312,3456,0,{},{}
4498.7705078125,17059.11328125,17.361507415771484,31.24268913269043,Abilene,1,PatchLinear,16.131868433188302,18.734239271101067,144,2880,5,72,12,19872,3312,3456,0,{},{}
4632.0439453125,19159.458984375,17.87583351135254,31.120283126831055,Abilene,1,Damped persistence,16.383088926672087,19.786734575275545,144,2880,5,72,12,19872,3312,3456,0,{},{}
4637.298828125,18756.1328125,17.8961124420166,31.033414840698242,Abilene,1,Persistence,16.445895990390945,19.787409351084644,144,2880,5,72,12,19872,3312,3456,0,{},{}
9292.306640625,25007.939453125,35.860572814941406,54.908119201660156,Abilene,1,Seasonal naive,33.649437160891424,38.10392003761052,144,2880,5,72,12,19872,3312,3456,0,{},{}
4512.39697265625,18265.04296875,17.41409683227539,32.200439453125,Abilene,1,PatchTST-Small,16.095842849799972,19.035916511149043,144,2880,5,72,12,19872,3312,3456,0,{},"{""best_val_huber"": 0.13568508625030518, ""epochs_run"": 2.0, ""final_train_huber"": 0.20211486151252966}"
4402.39599609375,17215.029296875,16.989582061767578,30.461034774780273,Abilene,1,N-BEATS-Small,15.702902456615579,18.41681451123387,144,2880,5,72,12,19872,3312,3456,0,{},"{""best_val_huber"": 0.12837915122509003, ""epochs_run"": 2.0, ""final_train_huber"": 0.1744558145314599}"
4597.75244140625,18600.32421875,17.74349594116211,31.199975967407227,Abilene,1,TimesNet-Small,16.310123227353372,19.408382154381282,144,2880,5,72,12,19872,3312,3456,0,{},"{""best_val_huber"": 0.1435290277004242, ""epochs_run"": 2.0, ""final_train_huber"": 0.2101343382815808}"
4362.82666015625,16444.369140625,16.83687973022461,30.668827056884766,Abilene,1,N-HiTS-Small,15.721872450528894,18.127083786824592,144,2880,5,72,12,19872,3312,3456,0,{},"{""best_val_huber"": 0.12831982970237732, ""epochs_run"": 2.0, ""final_train_huber"": 0.1810910678236189}"
4382.02490234375,17787.212890625,16.910968780517578,29.635334014892578,Abilene,1,All-flow WRTCN,15.775908267971735,18.35420157566956,144,2880,5,72,12,19872,3312,3456,0,{},"{""best_val_huber"": 0.12122272700071335, ""epochs_run"": 2.0, ""final_train_huber"": 0.178957753399336}"
4774.78857421875,18729.529296875,18.426708221435547,33.86054229736328,Abilene,1,GraphAttention-Small,16.926106738722133,20.400334097272832,144,2880,5,72,12,19872,3312,3456,0,{},"{""best_val_huber"": 0.14910751581192017, ""epochs_run"": 2.0, ""final_train_huber"": 0.21952874980111053}"
4289.21044921875,17233.65625,16.55278205871582,29.593658447265625,Abilene,1,SCALE-TM neural ensemble,15.365018252035837,17.966005378665102,144,2880,5,72,12,19872,3312,3456,0,"{""All-flow WRTCN"": 0.10000000149011612, ""N-HiTS-Small"": 0.10000000149011612, ""NLinear"": 0.800000011920929}",{}
4321.84765625,17273.55859375,16.678733825683594,29.912694931030273,Abilene,1,SCALE-TM no-WRTCN ensemble,15.449055714015635,18.116637253611675,144,2880,5,72,12,19872,3312,3456,0,"{""N-HiTS-Small"": 0.10000000149011612, ""NLinear"": 0.8999999761581421}",{}
4277.3896484375,17397.431640625,16.507164001464844,29.56768035888672,Abilene,1,Uniform candidate ensemble,15.31329765559399,18.227668893690165,144,2880,5,72,12,19872,3312,3456,0,"{""All-flow WRTCN"": 0.1, ""DLinear"": 0.1, ""Damped persistence"": 0.1, ""GraphAttention-Small"": 0.1, ""N-BEATS-Small"": 0.1, ""N-HiTS-Small"": 0.1, ""NLinear"": 0.1, ""PatchLinear"": 0.1, ""PatchTST-Small"": 0.1, ""TimesNet-Small"": 0.1}",{}
4272.66259765625,10602.232421875,15.171666145324707,29.224103927612305,Abilene,2,NLinear,14.736811251782644,15.701657038782662,144,2880,5,72,12,23184,3456,3456,0,{},{}
4246.337890625,10503.5986328125,15.078189849853516,29.126262664794922,Abilene,2,DLinear,14.653671057032943,15.599258820030322,144,2880,5,72,12,23184,3456,3456,0,{},{}
4276.84716796875,10636.2880859375,15.186524391174316,29.13782501220703,Abilene,2,PatchLinear,14.667510141917958,15.653747860960804,144,2880,5,72,12,23184,3456,3456,0,{},{}
4396.48388671875,10940.33203125,15.61133861541748,29.084978103637695,Abilene,2,Damped persistence,15.126479890097773,16.23994345462149,144,2880,5,72,12,23184,3456,3456,0,{},{}
4425.1083984375,11020.7099609375,15.712981224060059,29.115053176879883,Abilene,2,Persistence,15.168637529956289,16.232601530402484,144,2880,5,72,12,23184,3456,3456,0,{},{}
8319.310546875,22721.716796875,29.540781021118164,45.503395080566406,Abilene,2,Seasonal naive,27.819428144820336,31.404671729202775,144,2880,5,72,12,23184,3456,3456,0,{},{}
