model,MSE,RMSE,MAE
Proposed per-flow damped residual,7.84725044456721e-06,0.002801294423042178,0.0010076647450102405
Global damped trend (alpha=-0.180),8.298475445857698e-06,0.002880707455792361,0.0010123261839931567
Persistence,9.055868797988167e-06,0.003009297060442549,0.0010228732978692387
Reported 2024 journal best GRU,0.030781,0.175446,0.133847
