dataset,fold,candidate,baseline,baseline_model,candidate_wape,baseline_wape,wape_point_improvement,wape_point_CI_low,wape_point_CI_high,relative_improvement_percent
CERNET,1,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,14.231197357177734,14.11404037475586,-0.11715674200005693,-0.855535474770496,0.6352747830208234,-0.8300723172763594
CERNET,1,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,14.231197357177734,15.499353408813477,1.2681566852372912,0.6166053856168419,2.1785787363451816,8.181997350393809
CERNET,2,SCALE-TM neural ensemble,Best single non-ensemble,TimesNet-Small,16.31995964050293,16.473726272583008,0.15376617286304084,-0.7480860676339827,1.3872595543224453,0.9334024999489747
CERNET,2,SCALE-TM neural ensemble,Persistence,Persistence,16.31995964050293,16.729948043823242,0.4099893145863179,-0.8368877400678382,1.8823980929244084,2.4506311287540874
CERNET,2,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,16.31995964050293,16.956947326660156,0.6369884945673308,-0.8142547816059107,2.1431587131029763,3.756504530540357
CERNET,2,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,16.31995964050293,16.737348556518555,0.4173885397414801,-1.4537724062788544,2.7176058716808758,2.493755437619319
CERNET,2,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,16.31995964050293,18.217172622680664,1.8972115716143285,0.05857843635313248,3.724450116458626,10.41441287794721
CERNET,2,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,16.31995964050293,16.290664672851562,-0.029294599668828965,-0.8223373502499229,1.3239607570788507,-0.17982445932760802
CERNET,2,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,16.31995964050293,16.85563850402832,0.5356804896280957,-0.9658104526484678,2.0471186834854467,3.1780492296395275
CERNET,3,SCALE-TM neural ensemble,Best single non-ensemble,All-flow WRTCN,13.316914558410645,13.316914558410645,0.0,0.0,0.0,0.0
CERNET,3,SCALE-TM neural ensemble,Persistence,Persistence,13.316914558410645,14.142483711242676,0.8255680838938388,-0.6245573393080541,2.887263414157452,5.837504223091643
CERNET,3,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,13.316914558410645,14.710612297058105,1.3936966772786796,0.3080821633217785,3.273084034895779,9.474090195126667
CERNET,3,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,13.316914558410645,14.479986190795898,1.1630708583678597,-0.07612845571799769,2.6649451307062395,8.032264969335106
CERNET,3,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,13.316914558410645,13.316914558410645,0.0,0.0,0.0,0.0
CERNET,3,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,13.316914558410645,13.550172805786133,0.233256835813457,-0.8774496258706218,1.6866978998423072,1.721430709089206
CERNET,3,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,13.316914558410645,14.421923637390137,1.1050072243965614,-0.10328620977884956,2.8327157751426952,7.661996084431695
GEANT,1,SCALE-TM neural ensemble,Best single non-ensemble,N-BEATS-Small,197.96188354492188,79.66001892089844,-118.30190090218863,-642.4322023440108,37.704599994096434,-148.50850213789326
GEANT,1,SCALE-TM neural ensemble,Persistence,Persistence,197.96188354492188,216.78598022460938,18.82406923973499,-0.17418814578814595,96.31025328786201,8.68325028225146
GEANT,1,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,197.96188354492188,79.66001892089844,-118.30190090218863,-651.5694055327259,37.29910184465325,-148.50850213789326
GEANT,1,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,197.96188354492188,80.1783447265625,-117.78357747409328,-589.5011707117644,13.561051093078875,-146.9019819201536
GEANT,1,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,197.96188354492188,215.64431762695312,17.68240614752839,0.6990021747475144,83.69868704531446,8.199801572382489
