MAE,RMSE,WAPE,sMAPE,WAPE_CI95_low,WAPE_CI95_high,model
22719.140625,150680.625,15.976469039916992,12.756922721862793,14.285811614990234,17.456558513641358,"Proposed WRTCN-GB Ensemble (HistGradientBoosting=0.10, Ridge lags=0.10, Residual TCN (no wavelet)=0.05, Wavelet-Residual TCN=0.75)"
22990.306640625,155779.6875,16.167158126831055,12.809731483459473,14.487980818748474,17.64644651412964,Wavelet-Residual TCN
23021.396484375,156978.53125,16.18902015686035,13.093841552734375,14.471419477462769,17.73287019729614,Residual TCN (no wavelet)
23700.638671875,155010.59375,16.666675567626953,14.008511543273926,14.87806568145752,18.245938062667847,Ridge lags
23875.052734375,158806.828125,16.789325714111328,12.612592697143555,15.04474995136261,18.288397121429444,Damped persistence
24647.8359375,160483.984375,17.332759857177734,13.000638961791992,15.550636553764344,18.866809940338136,Persistence
26105.064453125,191084.265625,18.357505798339844,13.205676078796387,16.251032018661498,20.113838291168214,HistGradientBoosting
27177.787109375,198929.625,19.111862182617188,13.385947227478027,16.8561692237854,20.935910177230834,Compact LSTM
42355.5703125,221871.28125,29.785125732421875,23.653797149658203,27.700469875335692,31.749868965148924,Seasonal naive
